Johannes Steiniger, CDU, 1464 Tage
Britta Katharina Dassler, FDP, 1464 Tage
Dr. Heribert Hirte, CDU, 1464 Tage
Yasmin Fahimi, SPD, 1464 Tage
Peter Meiwald, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Ute Finckh-Krämer, SPD, 1464 Tage
Jürgen Pohl, AfD, 1464 Tage
Ulle Schauws, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Leni Breymaier, SPD, 1464 Tage
Pia Zimmermann, DIE LINKE., 1464 Tage
Ralf Kapschack, SPD, 1464 Tage
Dr. Julia Verlinden, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Josef Oster, CDU, 1464 Tage
Christoph Bernstiel, CDU, 1464 Tage
Luise Amtsberg, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Albert Stegemann, CDU, 1464 Tage
Dr. Matthias Bartke, SPD, 1464 Tage
Stefan Rouenhoff, CDU, 1464 Tage
Alexandra Dinges-Dierig, CDU, 1464 Tage
Dr. Dorothee Schlegel, SPD, 1464 Tage
Bernd Reuther, FDP, 1464 Tage
Dr. Claudia Lücking-Michel, CDU, 1464 Tage
Thorsten Frei, CDU, 1464 Tage
Susanna Karawanskij, DIE LINKE., 1464 Tage
Falko Mohrs, SPD, 1464 Tage
Paul Viktor Podolay, AfD, 1464 Tage
Ulrich Hampel, SPD, 1464 Tage
Roman Müller-Böhm, FDP, 1464 Tage
Sybille Benning, CDU, 1464 Tage
Elisabeth Motschmann, CDU, 1464 Tage
Marc Bernhard, AfD, 1464 Tage
Dr. Martin Pätzold, CDU, 1464 Tage
Udo Theodor Hemmelgarn, AfD, 1464 Tage
Dr. Heiko Heßenkemper, Plos, 1464 Tage
Nicole Höchst, AfD, 1464 Tage
Hans-Jürgen Thies, CDU, 1464 Tage
Helmut Nowak, CDU, 1464 Tage
Susann Rüthrich, SPD, 1464 Tage
Johannes Huber, Plos, 1464 Tage
Petra Nicolaisen, CDU, 1464 Tage
Mario Mieruch, LKR, 1464 Tage
Dirk Wiese, SPD, 1464 Tage
Martin Rabanus, SPD, 1464 Tage
Jochen Haug, AfD, 1464 Tage
Lisa Badum, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Jörg Hellmuth, CDU, 1464 Tage
Doris Achelwilm, DIE LINKE., 1464 Tage
Dr. Roy Kühne, CDU, 1464 Tage
Jan Metzler, CDU, 1464 Tage
Thomas Erndl, CSU, 1464 Tage
Karsten Möring, CDU, 1464 Tage
Albrecht Glaser, AfD, 1464 Tage
Marian Wendt, CDU, 1464 Tage
Reiner Meier, CSU, 1464 Tage
Karsten Hilse, AfD, 1464 Tage
Kordula Kovac, CDU, 1464 Tage
Marc Henrichmann, CDU, 1464 Tage
Dr. Birke Bull-Bischoff, DIE LINKE., 1464 Tage
Alexander Hoffmann, CSU, 1464 Tage
Gülistan Yüksel, SPD, 1464 Tage
Bernd Riexinger, DIE LINKE., 1464 Tage
Dr. Wiebke Esdar, SPD, 1464 Tage
Dr. Marc Jongen, AfD, 1464 Tage
Mahmut Özdemir, SPD, 1464 Tage
Dr. Achim Kessler, DIE LINKE., 1464 Tage
Dr. Frauke Petry, Plos, 1464 Tage
Stefan Gelbhaar, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Anton Friesen, AfD, 1464 Tage
Nicole Bauer, FDP, 1464 Tage
Sylvia Pantel, CDU, 1464 Tage
Andrea Lindholz, CSU, 1464 Tage
Fritz Güntzler, CDU, 1464 Tage
Anja Karliczek, CDU, 1464 Tage
Martina Stamm-Fibich, SPD, 1464 Tage
Dr. Simone Raatz, SPD, 1464 Tage
Zaklin Nastic, DIE LINKE., 1464 Tage
