Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Gülistan Yüksel, SPD (20 Reden, gesamt 84056 Zeichen)
    Dr. Jens Zimmermann, SPD (20 Reden, gesamt 81497 Zeichen)
    Dr. Carolin Wagner, SPD (20 Reden, gesamt 80066 Zeichen)
    Frank Schwabe, SPD (19 Reden, gesamt 102303 Zeichen)
    Dr. Wiebke Esdar, SPD (19 Reden, gesamt 95245 Zeichen)
    Armand Zorn, SPD (19 Reden, gesamt 89146 Zeichen)
    Katrin Zschau, SPD (19 Reden, gesamt 86857 Zeichen)
    Erik Malottki, SPD (19 Reden, gesamt 79834 Zeichen)
    Hakan Demir, SPD (19 Reden, gesamt 76630 Zeichen)
    Uli Grötsch, SPD (19 Reden, gesamt 73095 Zeichen)
    Carlos Kasper, SPD (19 Reden, gesamt 72722 Zeichen)
    Carsten Träger, SPD (19 Reden, gesamt 70497 Zeichen)
    Franziska Mascheck, SPD (19 Reden, gesamt 69116 Zeichen)
    Brian Nickholz, SPD (19 Reden, gesamt 63180 Zeichen)
    Heike Engelhardt, SPD (19 Reden, gesamt 59275 Zeichen)
    Frauke Heiligenstadt, SPD (18 Reden, gesamt 83718 Zeichen)
    Jan Dieren, SPD (18 Reden, gesamt 80170 Zeichen)
    Holger Mann, SPD (18 Reden, gesamt 77634 Zeichen)
    Dorothee Martin, SPD (18 Reden, gesamt 66211 Zeichen)
    Lena Werner, SPD (18 Reden, gesamt 62671 Zeichen)
    Natalie Pawlik, SPD (18 Reden, gesamt 57796 Zeichen)
    Luiza Licina-Bode, SPD (17 Reden, gesamt 92343 Zeichen)
    Johannes Schraps, SPD (17 Reden, gesamt 88840 Zeichen)
    Bettina Hagedorn, SPD (17 Reden, gesamt 81045 Zeichen)
    Dr. Johannes Fechner, SPD (17 Reden, gesamt 75905 Zeichen)
    Dr. Lars Castellucci, SPD (17 Reden, gesamt 75572 Zeichen)
    Helmut Kleebank, SPD (17 Reden, gesamt 74802 Zeichen)
    Elisabeth Kaiser, SPD (17 Reden, gesamt 72992 Zeichen)
