Document{{_id=11004088, Redenanzahl=42, Vorname=Caren, Nachname=Lay, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11005073, Redenanzahl=42, Vorname=Ates, Nachname=Gürpinar, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11005094, Redenanzahl=40, Vorname=Ann-Veruschka, Nachname=Jurisch, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004258, Redenanzahl=40, Vorname=Bernhard, Nachname=Daldrup, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005227, Redenanzahl=40, Vorname=Nina, Nachname=Stahr, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004342, Redenanzahl=40, Vorname=Andrea, Nachname=Lindholz, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003638, Redenanzahl=40, Vorname=Jens, Nachname=Spahn, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005201, Redenanzahl=39, Vorname=Sebastian, Nachname=Schäfer, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11004452, Redenanzahl=39, Vorname=Emmi, Nachname=Zeulner, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004444, Redenanzahl=39, Vorname=Dirk, Nachname=Wiese, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004905, Redenanzahl=39, Vorname=Beatrix, Nachname=Storch, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11004786, Redenanzahl=39, Vorname=Lukas, Nachname=Köhler, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004799, Redenanzahl=39, Vorname=Ulrich, Nachname=Lechte, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei}}
Document{{_id=11004339, Redenanzahl=38, Vorname=Andreas, Nachname=Lenz, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004116, Redenanzahl=38, Vorname=Nadine, Nachname=Schön, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11005011, Redenanzahl=38, Vorname=Andreas, Nachname=Audretsch, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
