Document{{Vorname=Anja, Nachname=Karliczek, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=558.1333333333333}}
Document{{Vorname=Burkhard, Nachname=Blienert, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=286.0}}
Document{{Vorname=Edgar, Nachname=Naujok, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=329.0}}
Document{{Vorname=Christoph, Nachname=Meyer, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=596.5}}
Document{{Vorname=Roderich, Nachname=Kiesewetter, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=759.0769230769231}}
Document{{Vorname=Hubert, Nachname=Hüppe, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=622.8571428571429}}
Document{{Vorname=Björn, Nachname=Simon, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=738.9166666666666}}
Document{{Vorname=Martin, Nachname=Gerster, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=927.0}}
Document{{Vorname=Michael, Nachname=Grosse-Brömer, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=653.75}}
Document{{Vorname=Alexander, Nachname=Föhr, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=751.7142857142857}}
Document{{Vorname=Andreas, Nachname=Schwarz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=778.3571428571429}}
Document{{Vorname=Ingo, Nachname=Schäfer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=781.1}}
Document{{Vorname=Michael, Nachname=Müller, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=579.2}}
Document{{Vorname=Johannes, Nachname=Arlt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=595.9047619047619}}
Document{{Vorname=Jens, Nachname=Beeck, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=803.3529411764706}}
Document{{Vorname=Tabea, Nachname=Rößner, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=511.0769230769231}}
Document{{Vorname=Markus, Nachname=Grübel, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=515.8}}
Document{{Vorname=Emilia, Nachname=Fester, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=414.6363636363636}}
Document{{Vorname=Jessica, Nachname=Tatti, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE., Durchschnittliche Länge=382.125}}
Document{{Vorname=Aydan, Nachname=Özoğuz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=619.75}}
Document{{Vorname=Anne, Nachname=König, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=657.578947368421}}
Document{{Vorname=Stephan, Nachname=Protschka, Partei=AfD, Fraktion=Alternative für Deutschland, Durchschnittliche Länge=437.2692307692308}}
Document{{Vorname=Michael, Nachname=Roth, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=686.5}}
Document{{Vorname=Markus, Nachname=Hümpfer, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=538.8636363636364}}
Document{{Vorname=Swantje Henrike, Nachname=Michaelsen, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=539.6363636363636}}
Document{{Vorname=Norbert Maria, Nachname=Altenkamp, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=547.7}}
Document{{Vorname=Sebastian, Nachname=Hartmann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=769.1071428571429}}
Document{{Vorname=Ariane, Nachname=Fäscher, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=644.7}}
Document{{Vorname=Nicole, Nachname=Bauer, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=543.0}}
Document{{Vorname=Wolfgang, Nachname=Kubicki, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=823.5}}
Document{{Vorname=Henning, Nachname=Otte, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union, Durchschnittliche Länge=604.6363636363636}}
Document{{Vorname=Nyke, Nachname=Slawik, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=448.2142857142857}}
Document{{Vorname=Nadine, Nachname=Heselhaus, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands, Durchschnittliche Länge=554.7272727272727}}
Document{{Vorname=Katja, Nachname=Keul, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=721.75}}
Document{{Vorname=Frank, Nachname=Schäffler, Partei=FDP, Fraktion=Fraktion der Freien Demokratischen Partei, Durchschnittliche Länge=650.75}}
Document{{Vorname=Anna, Nachname=Christmann, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN, Durchschnittliche Länge=643.875}}
