Document{{_id=11005207, Redenanzahl=16, Vorname=Timo, Nachname=Schisanowski, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005005, Redenanzahl=16, Vorname=Adis, Nachname=Ahmetovic, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004388, Redenanzahl=15, Vorname=Dennis, Nachname=Rohde, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005088, Redenanzahl=15, Vorname=Jasmina, Nachname=Hostert, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004355, Redenanzahl=15, Vorname=Susanne, Nachname=Mittag, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004389, Redenanzahl=15, Vorname=Martin, Nachname=Rosemann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005204, Redenanzahl=15, Vorname=Johannes, Nachname=Schätzl, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004824, Redenanzahl=15, Vorname=Falko, Nachname=Mohrs, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005250, Redenanzahl=15, Vorname=Hannes, Nachname=Walter, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005192, Redenanzahl=15, Vorname=Jessica, Nachname=Rosenthal, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005178, Redenanzahl=15, Vorname=Jens, Nachname=Peick, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005249, Redenanzahl=15, Vorname=Maja, Nachname=Wallstein, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004407, Redenanzahl=14, Vorname=Andreas, Nachname=Schwarz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005176, Redenanzahl=14, Vorname=Mathias, Nachname=Papendieck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004904, Redenanzahl=14, Vorname=Mathias, Nachname=Stein, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004686, Redenanzahl=14, Vorname=Katrin, Nachname=Budde, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005252, Redenanzahl=14, Vorname=Melanie, Nachname=Wegling, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005202, Redenanzahl=14, Vorname=Rebecca, Nachname=Schamber, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005137, Redenanzahl=14, Vorname=Tanja, Nachname=Machalet, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
